index,rune,count,fraction
0,ᚠ,458,0.03535041679530719
1,ᚢ,450,0.03473294226613152
2,ᚦ,455,0.03511886384686631
3,ᚩ,458,0.03535041679530719
4,ᚱ,424,0.03272615004631059
5,ᚳ,443,0.03419265205310281
6,ᚷ,438,0.03380673047236801
7,ᚹ,401,0.030950910774930535
8,ᚻ,414,0.031954306884841
9,ᚾ,446,0.03442420500154369
10,ᛁ,471,0.03635381290521766
11,ᛄ,450,0.03473294226613152
12,ᛇ,399,0.030796542142636617
13,ᛈ,445,0.034347020685396724
14,ᛉ,458,0.03535041679530719
15,ᛋ,434,0.03349799320778018
16,ᛏ,442,0.034115467736955854
17,ᛒ,445,0.034347020685396724
18,ᛖ,439,0.03388391478851498
19,ᛗ,436,0.0336523618400741
20,ᛚ,460,0.03550478542760111
21,ᛝ,454,0.03504167953071936
22,ᛟ,492,0.0379746835443038
23,ᛞ,439,0.03388391478851498
24,ᚪ,482,0.03720284038283421
25,ᚫ,445,0.034347020685396724
26,ᚣ,448,0.0345785736338376
27,ᛡ,470,0.0362766285890707
28,ᛠ,460,0.03550478542760111
