page,line,n,pairs,equal,entropy_bits,ioc,frequencies
0,0,20,19,0,3.8219280948873626,0.02631578947368421,"[2, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
0,1,23,22,0,3.9148663038831,0.03557312252964427,"[0, 1, 2, 1, 0, 0, 1, 1, 1, 4, 2, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
0,2,19,18,0,3.826874881864638,0.023391812865497075,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
0,3,22,21,0,3.8453509366224363,0.03463203463203463,"[1, 2, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 3, 1, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1, 2, 1, 0]"
0,4,24,23,0,3.970175521464345,0.028985507246376812,"[1, 0, 2, 0, 0, 1, 1, 0, 3, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 1, 0]"
0,5,21,20,1,3.7489948035250964,0.0380952380952381,"[1, 1, 3, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 1, 1]"
0,6,21,20,0,3.916126946588284,0.023809523809523808,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 2, 0, 1, 2, 2, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1]"
0,7,23,22,0,4.001822825622231,0.023715415019762844,"[0, 0, 2, 1, 1, 0, 2, 0, 0, 0, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, 1, 0, 2, 0, 0]"
0,8,23,22,0,3.6753108689123635,0.043478260869565216,"[3, 0, 0, 0, 0, 0, 2, 1, 1, 2, 0, 0, 2, 1, 2, 0, 1, 0, 0, 1, 3, 0, 1, 0, 0, 2, 0, 0, 1]"
0,9,20,19,1,3.684183719779189,0.03684210526315789,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 0, 3, 0, 2, 1, 2, 1, 0, 0, 1, 2]"
0,10,23,22,0,3.795088586397732,0.03557312252964427,"[0, 2, 0, 0, 2, 1, 1, 0, 3, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 2, 2, 1, 0, 1, 1, 0, 0]"
0,11,23,22,0,3.8820451081368623,0.03162055335968379,"[2, 1, 0, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 2, 2, 1, 1, 1, 0, 0, 1]"
1,0,24,23,0,4.001629167387822,0.03260869565217391,"[0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 4, 1, 0, 0, 1, 1, 1, 2, 1, 2, 1, 0, 1, 0]"
1,1,23,22,0,3.8492239123906247,0.03557312252964427,"[3, 0, 1, 3, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1]"
1,2,23,22,0,3.795088586397732,0.03557312252964427,"[0, 0, 0, 1, 0, 1, 2, 0, 3, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 1, 2, 0, 0, 2, 2, 0, 0]"
1,3,21,20,0,3.7256507561120933,0.03333333333333333,"[1, 0, 2, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 2, 1, 0, 2]"
1,4,23,22,0,3.8279097821439696,0.03162055335968379,"[1, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 1, 0, 0, 1, 0, 0, 2, 2, 0, 1, 2, 0, 1, 0]"
1,5,23,22,0,4.349648912578752,0.007905138339920948,"[1, 0, 1, 0, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 0, 0]"
1,6,22,21,0,3.6069367321753214,0.05194805194805195,"[1, 0, 1, 2, 1, 4, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 3, 2]"
1,7,21,20,0,3.7849418274376427,0.03333333333333333,"[1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 2, 0, 3, 0, 0, 0, 2, 1]"
1,8,21,20,1,3.6897037321995474,0.047619047619047616,"[1, 1, 1, 0, 0, 1, 1, 4, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 3]"
1,9,21,20,0,3.594465636961452,0.04285714285714286,"[0, 0, 0, 0, 1, 3, 2, 1, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 2, 1, 0]"
1,10,21,20,0,3.8208888513501886,0.02857142857142857,"[2, 1, 1, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 2, 1, 1, 0, 2]"
1,11,23,22,0,3.5342190211803404,0.05533596837944664,"[2, 1, 1, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 1, 2, 2, 3, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 1]"
2,0,21,20,0,3.594465636961452,0.05238095238095238,"[0, 1, 0, 0, 1, 0, 1, 0, 3, 1, 0, 0, 2, 0, 0, 0, 1, 4, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
2,1,24,23,0,4.220175521464345,0.018115942028985508,"[0, 1, 1, 1, 1, 0, 1, 2, 3, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]"
2,2,22,21,0,3.913977073182752,0.025974025974025976,"[2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 2, 0, 0, 0, 2, 1]"
2,3,25,24,0,4.103465189601647,0.02666666666666667,"[1, 0, 3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 2, 1, 0, 3, 1, 0, 1, 1, 0]"
2,4,23,22,0,3.8164027166443866,0.039525691699604744,"[2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 0, 0, 1, 1, 0, 3, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
2,5,21,20,1,3.558518613048906,0.047619047619047616,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 3, 0, 0, 2, 1, 0, 0, 0, 3]"
2,6,24,23,0,4.053508854797678,0.025362318840579712,"[0, 0, 1, 0, 1, 3, 1, 2, 2, 1, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 0, 1, 1]"
2,7,22,21,0,3.913977073182752,0.025974025974025976,"[0, 0, 2, 2, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 2, 0, 1, 2]"
2,8,19,18,0,3.8924071185928764,0.023391812865497075,"[1, 3, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
3,0,20,19,0,3.8841837197791893,0.02631578947368421,"[0, 1, 1, 0, 1, 1, 1, 0, 2, 0, 0, 2, 1, 1, 1, 1, 3, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
3,1,20,19,0,3.584183719779189,0.05263157894736842,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 4, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 3, 1, 1]"
3,2,21,20,1,3.558518613048906,0.047619047619047616,"[1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 3, 1, 1, 3, 0, 0, 0, 0, 0, 0, 2, 2]"
3,3,22,21,0,4.186704345910025,0.012987012987012988,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 2, 1, 1, 2, 1, 1, 0, 1, 1, 1]"
3,4,22,21,0,3.6978458230844122,0.03896103896103896,"[2, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 2, 2, 0, 1, 0, 0, 0, 1, 2, 1]"
3,5,14,13,0,3.521640636343318,0.02197802197802198,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1]"
3,6,17,16,0,3.572469458770135,0.03676470588235294,"[0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1]"
3,7,18,17,0,3.5724312513221195,0.0392156862745098,"[0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 1]"
3,8,20,19,0,4.021928094887363,0.015789473684210527,"[1, 0, 1, 1, 0, 2, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
3,9,20,19,1,3.8219280948873626,0.02631578947368421,"[2, 1, 0, 1, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1, 2]"
3,10,23,22,1,3.4144413036949723,0.06324110671936758,"[0, 0, 0, 3, 0, 0, 1, 0, 2, 0, 4, 1, 0, 1, 2, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3]"
4,0,23,22,0,3.8820451081368623,0.03162055335968379,"[1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 2, 1, 0, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 3, 0]"
4,1,20,19,1,3.521928094887363,0.05263157894736842,"[1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 1, 4, 2, 0, 0, 0, 0, 0, 1]"
4,2,21,20,0,3.8208888513501886,0.02857142857142857,"[0, 2, 0, 0, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 1, 0, 1, 2, 1, 1, 0, 1]"
4,3,23,22,0,3.9690016298759927,0.02766798418972332,"[2, 1, 2, 0, 1, 1, 3, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]"
4,4,19,18,1,3.5766176449086657,0.04093567251461988,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3]"
4,5,20,19,0,3.784183719779189,0.031578947368421054,"[1, 0, 1, 0, 0, 3, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2]"
4,6,22,21,0,3.7544418457133455,0.03896103896103896,"[0, 0, 1, 1, 2, 1, 1, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3, 0, 0, 3, 0, 0, 1, 1, 1, 1]"
4,7,23,22,0,3.642489673166126,0.04743083003952569,"[0, 0, 0, 0, 3, 0, 0, 1, 0, 1, 1, 2, 0, 1, 3, 1, 2, 1, 0, 2, 3, 0, 1, 0, 1, 0, 0, 0, 0]"
4,8,22,21,0,3.913977073182752,0.025974025974025976,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2]"
4,9,22,21,0,3.7544418457133455,0.03896103896103896,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 2, 1, 1, 0, 3, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0, 2]"
4,10,23,22,0,3.9690016298759927,0.02766798418972332,"[0, 1, 0, 2, 0, 0, 1, 2, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 3, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0]"
4,11,23,22,0,3.9148663038831,0.02766798418972332,"[1, 2, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 2, 2, 1, 1, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 0]"
5,0,23,22,0,4.088779347361361,0.019762845849802372,"[1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 2, 1, 0, 0]"
5,1,21,20,0,3.9754180179138334,0.023809523809523808,"[1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 1, 1, 1]"
5,2,21,20,0,3.141619208183979,0.1,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 0, 2, 0, 1, 0, 1, 3, 0, 2, 0, 0, 1, 0, 1]"
5,3,24,23,0,3.8868421881310113,0.03260869565217391,"[3, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 1, 1, 1, 1, 1, 0, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0]"
5,4,21,20,0,3.880179922675738,0.02857142857142857,"[0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 3, 1, 1]"
5,5,22,21,0,4.027169118440618,0.025974025974025976,"[0, 1, 3, 0, 1, 1, 0, 1, 1, 1, 0, 1, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]"
5,6,21,20,0,3.9754180179138334,0.023809523809523808,"[1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 2, 3, 1, 1]"
5,7,23,22,0,4.088779347361361,0.019762845849802372,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0]"
5,8,22,21,0,3.8796640049025943,0.030303030303030304,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 3, 1, 1, 2]"
5,9,22,21,0,3.970573095811685,0.025974025974025976,"[1, 3, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 1]"
5,10,23,22,0,3.9690016298759927,0.02766798418972332,"[0, 0, 0, 1, 1, 0, 1, 1, 2, 1, 1, 3, 2, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 2, 1, 0, 0]"
5,11,20,19,0,3.784183719779189,0.031578947368421054,"[0, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 1]"
6,0,20,19,0,3.8841837197791893,0.02631578947368421,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 2, 0, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 3]"
6,1,24,23,0,3.8035088547976783,0.036231884057971016,"[0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0, 2, 3, 1, 0, 2, 2, 0]"
6,2,24,23,0,4.220175521464345,0.018115942028985508,"[1, 1, 0, 0, 3, 1, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0]"
6,3,3,2,0,1.584962500721156,0.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
6,4,18,17,0,3.6835423624332306,0.032679738562091505,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]"
6,5,19,18,0,3.6818808028034025,0.03508771929824561,"[0, 0, 0, 2, 1, 1, 1, 0, 2, 0, 1, 2, 0, 0, 1, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
6,6,20,19,1,4.1219280948873624,0.010526315789473684,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 1, 2, 1, 1, 0]"
6,7,24,23,0,4.168295834054489,0.018115942028985508,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0]"
6,8,22,21,0,4.095795255000934,0.017316017316017316,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 2, 0, 1, 2, 1, 0, 1, 1, 0]"
6,9,22,21,0,3.6978458230844122,0.03896103896103896,"[0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 0, 2, 2, 1, 0, 1, 0, 1, 0, 2, 3, 0, 0, 0, 2, 1, 0, 0, 0]"
7,0,20,19,0,3.8841837197791893,0.02631578947368421,"[0, 1, 1, 1, 0, 3, 0, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 1]"
7,1,21,20,0,3.916126946588284,0.023809523809523808,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 2]"
7,2,21,20,0,3.880179922675738,0.02857142857142857,"[0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 1, 3, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 2]"
7,3,22,21,0,3.299896391167891,0.06926406926406926,"[0, 0, 0, 0, 1, 3, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 1, 4, 2]"
7,4,22,21,0,4.004886164091843,0.021645021645021644,"[0, 1, 2, 1, 0, 2, 0, 0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 1, 0, 0, 0, 1, 1]"
7,5,23,22,0,4.0559581516151235,0.023715415019762844,"[0, 1, 1, 1, 0, 0, 2, 1, 0, 2, 0, 1, 1, 3, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 2, 0]"
7,6,21,20,0,3.558518613048906,0.047619047619047616,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 0, 0, 0, 2, 0, 2, 3, 0, 3, 2, 0, 1, 0, 0]"
7,7,23,22,0,3.8820451081368623,0.03162055335968379,"[0, 0, 1, 1, 0, 3, 0, 2, 1, 1, 2, 0, 2, 1, 0, 0, 1, 1, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0, 1]"
7,8,21,20,0,3.880179922675738,0.02857142857142857,"[0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 3, 1, 0, 0, 2, 0, 1, 1, 1, 1, 0]"
7,9,14,13,0,3.6644977792004614,0.01098901098901099,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2]"
8,0,17,16,0,3.4992275471326924,0.051470588235294115,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 4, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
8,1,16,15,0,3.75,0.016666666666666666,"[0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 1]"
8,2,17,16,0,3.85216872360328,0.014705882352941176,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0]"
8,3,22,21,0,4.004886164091843,0.021645021645021644,"[0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 0, 1]"
8,4,22,21,0,3.6978458230844122,0.047619047619047616,"[0, 1, 0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 3, 2, 1, 0, 1, 0, 1, 1, 1]"
8,5,23,22,1,3.762267390651494,0.039525691699604744,"[0, 3, 0, 2, 0, 0, 1, 0, 1, 3, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 2, 1, 0]"
