page,segment,start,n,pairs,equal,entropy_bits,ioc,frequencies
0,0,0,262,261,2,4.789204428837693,0.034307273843994034,"[14, 7, 12, 6, 7, 5, 12, 5, 10, 12, 8, 8, 9, 9, 12, 8, 8, 9, 8, 10, 7, 18, 8, 9, 6, 9, 13, 7, 6]"
1,1,262,266,265,1,4.776628085002084,0.03455809334657398,"[13, 6, 11, 9, 9, 15, 11, 9, 7, 8, 8, 8, 3, 11, 12, 12, 6, 4, 6, 5, 14, 7, 14, 8, 8, 11, 10, 9, 12]"
2,2,528,201,200,1,4.731428557480965,0.03562189054726368,"[7, 8, 7, 5, 6, 8, 6, 8, 13, 8, 8, 8, 5, 7, 4, 3, 9, 10, 10, 3, 9, 4, 3, 14, 5, 4, 2, 7, 10]"
3,3,729,217,216,3,4.793348723760966,0.03306878306878307,"[7, 3, 7, 6, 6, 10, 7, 5, 11, 10, 9, 6, 9, 6, 6, 9, 9, 8, 5, 9, 10, 6, 5, 8, 4, 6, 8, 9, 13]"
4,4,946,261,260,2,4.768229743373622,0.0349543177129384,"[7, 10, 10, 4, 11, 11, 16, 9, 4, 7, 8, 9, 10, 12, 16, 7, 6, 9, 7, 12, 12, 11, 10, 3, 6, 7, 6, 9, 12]"
5,5,1207,263,262,0,4.756444227471524,0.035526659507154675,"[8, 10, 6, 8, 8, 11, 7, 3, 9, 5, 10, 13, 15, 11, 10, 6, 8, 3, 9, 4, 8, 12, 11, 12, 9, 13, 18, 7, 9]"
6,6,1470,196,195,1,4.795973190339985,0.03233908948194662,"[3, 6, 3, 6, 9, 5, 9, 7, 7, 5, 7, 8, 6, 5, 9, 8, 9, 6, 4, 7, 9, 4, 7, 9, 10, 7, 7, 9, 5]"
7,7,1666,208,207,0,4.721414368601238,0.03595317725752508,"[1, 5, 8, 6, 2, 15, 4, 6, 7, 10, 9, 7, 9, 10, 8, 4, 5, 5, 7, 7, 11, 9, 7, 6, 6, 8, 3, 12, 11]"
8,8,1874,255,254,3,4.783926533501155,0.03427512737378416,"[8, 11, 8, 13, 10, 7, 5, 4, 7, 15, 6, 8, 7, 13, 13, 9, 8, 8, 7, 10, 14, 11, 11, 5, 7, 7, 9, 5, 9]"
9,9,2129,268,267,3,4.8054735310367755,0.03345631393593829,"[11, 6, 12, 8, 7, 7, 13, 10, 8, 8, 9, 9, 7, 11, 8, 11, 6, 6, 6, 12, 6, 9, 10, 11, 8, 10, 15, 15, 9]"
