left_global,right_global,left_page,right_page,left_page_rune,right_page_rune,left_line,right_line,left_source_char,right_source_char,rune_index,category,raw_gap,equal
121,122,0,0,121,122,5,5,157,159,2,within_line_separator,-,True
206,207,0,0,206,207,9,9,270,271,14,literal_adjacent_runes,,True
455,456,1,1,193,194,8,8,598,599,28,literal_adjacent_runes,,True
652,653,2,2,124,125,5,5,858,860,11,within_line_separator,-,True
781,782,3,3,52,53,2,2,1028,1029,20,literal_adjacent_runes,,True
908,909,3,3,179,180,9,9,1198,1199,25,literal_adjacent_runes,,True
931,932,3,3,202,203,10,10,1227,1228,15,literal_adjacent_runes,,True
978,979,4,4,32,33,1,1,1290,1292,21,within_line_separator,-,True
1037,1038,4,4,91,92,4,4,1372,1374,6,within_line_separator,-,True
1590,1591,6,6,120,121,6,6,2104,2105,25,literal_adjacent_runes,,True
1980,1981,8,8,106,107,5,5,2634,2635,9,literal_adjacent_runes,,True
2015,2016,8,8,141,142,7,7,2679,2680,22,literal_adjacent_runes,,True
2025,2026,8,8,151,152,7,7,2689,2691,11,within_line_separator,-,True
2191,2192,9,9,62,63,2,2,2904,2905,0,literal_adjacent_runes,,True
2240,2241,9,9,111,112,5,5,2970,2971,26,literal_adjacent_runes,,True
2344,2345,9,9,215,216,9,9,3105,3106,6,literal_adjacent_runes,,True
2579,2580,10,10,182,183,8,8,3422,3424,14,within_line_separator,-,True
2739,2740,11,11,79,80,3,3,3634,3635,1,literal_adjacent_runes,,True
3139,3140,12,12,206,207,9,9,4162,4163,25,literal_adjacent_runes,,True
3851,3852,16,16,89,90,3,3,5114,5115,6,literal_adjacent_runes,,True
4388,4389,18,18,86,87,3,3,5831,5832,27,literal_adjacent_runes,,True
4579,4580,19,19,17,18,0,0,6085,6086,3,literal_adjacent_runes,,True
4606,4607,19,19,44,45,1,1,6120,6121,19,literal_adjacent_runes,,True
4671,4672,19,19,109,110,4,4,6205,6206,8,literal_adjacent_runes,,True
4712,4713,19,19,150,151,6,6,6259,6260,7,literal_adjacent_runes,,True
4773,4774,19,19,211,212,9,9,6342,6343,23,literal_adjacent_runes,,True
5074,5075,20,20,241,242,10,10,6745,6746,14,literal_adjacent_runes,,True
5260,5261,21,21,158,159,6,6,6987,6988,11,literal_adjacent_runes,,True
5475,5476,22,22,100,101,4,4,7268,7269,28,literal_adjacent_runes,,True
5633,5634,23,23,127,128,6,6,7480,7481,25,literal_adjacent_runes,,True
5770,5771,24,24,51,52,2,2,7665,7666,6,literal_adjacent_runes,,True
5777,5778,24,24,58,59,2,2,7674,7675,27,literal_adjacent_runes,,True
5824,5825,24,24,105,106,4,4,7733,7734,3,literal_adjacent_runes,,True
5835,5836,24,24,116,117,5,5,7748,7750,15,within_line_separator,-,True
5969,5970,24,24,250,251,11,11,7928,7929,9,literal_adjacent_runes,,True
6019,6020,25,25,30,31,1,1,7997,7998,14,literal_adjacent_runes,,True
