original,path,image_sha256,eligible_bits,header_width,declared_bytes,capacity_bytes,status,available_sha256,historical_bytes,historical_sha256,packed_sha256
2,liber-primus/data/relikd/p2.jpg,74e955ebe248e6d7442e2d2cd3029951f258017987d5762f48e7897cf6611e34,619659,31,2147483647,77452,DECLARED_LENGTH_EXCEEDS_CAPACITY,bf54a6c987b423d44201a7efaecf99dc4570f8fb572f7b2623316d594cc2031c,76800,b8df24294b507ffc47d57f6f94ede8d581095c2c9c716a00e51dbae226a2ac72,879213ad432ac2e6e4ba60a8c224c91564784f9e8f2e9bebac43e20205587c54
3,liber-primus/data/relikd/p3.jpg,1453ef27ea607c6ea378d6472c908e77c2881caba33c72d1893caddee8dc1117,618354,31,2147483647,77289,DECLARED_LENGTH_EXCEEDS_CAPACITY,495bc153dbcf3bdbed6d134a3d5a3d2973dc6225a69362b824346d77003be722,76800,8c4d07414757763b2ac05344515ba2af34cbaa459b0160d431960b031714f26d,ff770ba1314baa86c72e434fd93d5a1246498c840266cc031faddf49b66265d9
5,liber-primus/data/relikd/p5.jpg,bcef0a3b80532b25a013052ec4394ab47ab69ce675b5b3db59cbad044e7adabd,683572,31,2147483647,85442,DECLARED_LENGTH_EXCEEDS_CAPACITY,94e0426517a14e492ee2bc6c4bc5069e3ec43df54cbd2bb08d1c9f2e5ac04047,84992,e5c76a8bb9434958d91a7bfe921ec32e2984532f975a3c9823f6b7dc95257c9f,dee4dd863f64942f097e94bf48506def71df084bf7b08273f9586dbff64d3ad2
6,liber-primus/data/relikd/p6.jpg,4c7dce370242c67a7b785828d75547c042717b221d9d565d7dd097834c7b25d7,578766,31,2147483647,72341,DECLARED_LENGTH_EXCEEDS_CAPACITY,0b54e329b43f938cf5edb770bb57a7c3e53ef371333d5569aa413f7af332a8d8,71680,8291487ec86a8ace0bd806ca022010f4803c792ba78ebc9d63459b4ab567298f,c5c9930e30e93d950271a40ec74498aa75a5a201de29f21083222ce76f6372eb
7,liber-primus/data/relikd/p7.jpg,91a726a7dd59c6caa4d736b9ce72ceba0a2fa827d6b69a2d4057562b9303636c,601609,31,2147483647,75196,DECLARED_LENGTH_EXCEEDS_CAPACITY,c0ca99b76def9d5a8141a611e645c56e08ee95a547a5c681a14d1bc37fd76b72,74752,453d92a8ebeebfc421fb42a290d47dcbb470549aecbc90e452af1ed7e9dbcb10,c36ad19ca997617bd3a2deefdec9d784c61cadbf99c1e0dcf47636aab740e1f8
8,liber-primus/data/relikd/p8.jpg,6b1026dfdfb447a5a76819883fe576254e8a47fdf1e97ecf1825166833bc6f00,633943,31,2147483647,79238,DECLARED_LENGTH_EXCEEDS_CAPACITY,10ed9de0f9e736672c2f16355478c07ade688a45e356eab64bea7f2eec76539f,78848,1e48c039a8ea902a0a2dee671a19cada36d0df4da988e834084d3ceff14afaa5,5e8de51d153cc5f9a1a233b4b382b9ccd5f67ce87ace57a4a3566000c0f0d733
10,liber-primus/data/relikd/p10.jpg,1716e282c1d5e8a9ff911c01621e9b195d4728c7fa55ac857176a473eaba3239,639723,31,2147483647,79960,DECLARED_LENGTH_EXCEEDS_CAPACITY,544afa9d1f3eedbb161ca5ef03551271e66e1326f2b44476e849d62bbbe4fec5,79872,3b5aaaa1888670e26ec5ca1d8e022bfbdf96d1ff8a79377d32f23f082cf1d407,4879f89eb25b2260754efd1713c24286957508833047383b49fe83604b39a377
11,liber-primus/data/relikd/p11.jpg,26f0cb307a23dcb2adf03a70fb9c6da89746258a90fd9be5383b2757ab4aad30,630216,31,2147483647,78772,DECLARED_LENGTH_EXCEEDS_CAPACITY,ef5a67cb94010d2c542af366801d8786f9372c9fd6b07e1729199f8b3c5fb678,77824,057b2bb41b79f7dfd1a06f3f2875c1c2322c24d5d8d121dacd432ac1a59f8154,db0e10488dba0392bc36c0237ae326d9449cde49e05d57fb9fb1bdf6251ca2af
12,liber-primus/data/relikd/p12.jpg,6961f3f8eedba5b802fee9b40ad91fa604cd4e4394f9ba72853141ad71b19b21,631954,31,2147483647,78989,DECLARED_LENGTH_EXCEEDS_CAPACITY,aa1a0f6f841fe092ee7b3a37bdb26e5d0fbc3cc1f3b026293ca7a8327f44e306,78848,420ca55927a33e8a08bcf1efc51e06516c01ed1d343522f5cef50dc2dbf127b1,36e0e1ea46683b2953bbcaf1bbd2dad1c45fcfb469494c084c06dbbe4a39a52c
13,liber-primus/data/relikd/p13.jpg,3481daeed3ab2bea6effbe36eec22f74955bce87ca4b4ae8674be1d3f84ea08d,640118,31,2147483647,80010,DECLARED_LENGTH_EXCEEDS_CAPACITY,5d2534f9978df0cef90934232e13dd54abe78a6367b3afa78efb18b8b6548b29,79872,b36cf94e4af82735793fb812c2b8bd70a6470eabee7a2d59cb442764a15ab0db,0786e21640ac4689c223fe4dd2adfff551020e3ab1f38387eb0706ea2f4c5cc1
