2 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 77452, 'bits': 619659, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 77452, 'remaining_payload_partial_bits': 7} 2.132
3 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 77289, 'bits': 618354, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 77289, 'remaining_payload_partial_bits': 6} 2.127
5 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 85442, 'bits': 683572, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 85442, 'remaining_payload_partial_bits': 0} 2.187
6 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 72341, 'bits': 578766, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 72341, 'remaining_payload_partial_bits': 2} 2.026
7 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 75196, 'bits': 601609, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 75196, 'remaining_payload_partial_bits': 5} 2.063
8 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 79238, 'bits': 633943, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 79238, 'remaining_payload_partial_bits': 3} 2.099
10 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 79960, 'bits': 639723, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 79960, 'remaining_payload_partial_bits': 7} 2.116
11 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 78772, 'bits': 630216, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 78772, 'remaining_payload_partial_bits': 4} 2.079
12 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 78989, 'bits': 631954, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 78989, 'remaining_payload_partial_bits': 6} 2.124
13 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 80010, 'bits': 640118, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 80010, 'remaining_payload_partial_bits': 2} 2.133
15 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 67671, 'bits': 541404, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 67671, 'remaining_payload_partial_bits': 0} 2.001
16 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 75387, 'bits': 603134, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 75387, 'remaining_payload_partial_bits': 2} 1.641
17 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 74030, 'bits': 592277, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 74030, 'remaining_payload_partial_bits': 1} 1.641
18 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 74175, 'bits': 593439, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 74175, 'remaining_payload_partial_bits': 3} 1.63
20 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 73394, 'bits': 587191, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 73394, 'remaining_payload_partial_bits': 3} 1.626
21 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 75294, 'bits': 602392, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 75294, 'remaining_payload_partial_bits': 4} 1.663
22 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 67549, 'bits': 540431, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 67549, 'remaining_payload_partial_bits': 3} 2.032
23 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 64826, 'bits': 518649, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 64826, 'remaining_payload_partial_bits': 5} 1.964
25 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 84188, 'bits': 673546, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 84188, 'remaining_payload_partial_bits': 6} 1.762
26 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 86562, 'bits': 692534, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 86562, 'remaining_payload_partial_bits': 2} 2.29
27 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 75800, 'bits': 606436, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 75800, 'remaining_payload_partial_bits': 0} 2.178
28 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 74292, 'bits': 594378, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 74292, 'remaining_payload_partial_bits': 6} 1.65
30 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 73851, 'bits': 590846, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 73851, 'remaining_payload_partial_bits': 2} 1.674
31 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 72610, 'bits': 580922, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 72610, 'remaining_payload_partial_bits': 6} 1.65
