p03 0 [('WELCOME-DIVINITY', 'COMPLETE', -4.834874984042333, -4.869605660932778), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.703265459145369, -4.701930991757657)]
p03 1 [('WELCOME-DIVINITY', 'COMPLETE', -4.774321379748954, -4.800702044230396), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.724583241779501, -4.741601875387235)]
p03 2 [('WELCOME-DIVINITY', 'COMPLETE', -4.7589036566721665, -4.798161263991884), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.704300915130655, -4.7257055693073795)]
p03 3 [('WELCOME-DIVINITY', 'COMPLETE', -4.7778794682550085, -4.785980989623342), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.786874888029192, -4.833930436123183)]
p03 4 [('WELCOME-DIVINITY', 'COMPLETE', -4.807924669702785, -4.840875445974451), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.859473165944988, -4.887514367588768)]
p03 5 [('WELCOME-DIVINITY', 'COMPLETE', -4.719150737238928, -4.754998011951127), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.811348199241484, -4.880220574484419)]
p03 6 [('WELCOME-DIVINITY', 'COMPLETE', -4.752262372809057, -4.840742711688133), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.752803989106903, -4.758332825129948)]
p03 7 [('WELCOME-DIVINITY', 'COMPLETE', -4.866871755010498, -4.968286276834352), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.792436109961472, -4.853764384059714)]
p03 8 [('WELCOME-DIVINITY', 'COMPLETE', -4.761885923683955, -4.76482391043528), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.730307001003249, -4.7079715053776034)]
p03 9 [('WELCOME-DIVINITY', 'COMPLETE', -4.707854280202176, -4.760728410025834), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.810370129295213, -4.903888253071511)]
p03 10 [('WELCOME-DIVINITY', 'COMPLETE', -4.764811905804894, -4.879014900988375), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.8215661708033215, -4.8410724638185805)]
p03 11 [('WELCOME-DIVINITY', 'COMPLETE', -4.780473760162294, -4.859794965156698), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.833351511500382, -4.918975445455731)]
p03 12 [('WELCOME-DIVINITY', 'COMPLETE', -4.824785359458413, -4.857574652224551), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.792865626748111, -4.842452891027143)]
p03 13 [('WELCOME-DIVINITY', 'COMPLETE', -4.8037956480104445, -4.794009705283571), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.837746845229987, -4.92962282007079)]
p03 14 [('WELCOME-DIVINITY', 'COMPLETE', -4.799515337194996, -4.860495805673902), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.761776258179385, -4.7700611620625875)]
p03 15 [('WELCOME-DIVINITY', 'COMPLETE', -4.777688209237969, -4.899985689428653), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.8802664082413845, -4.939056950142764)]
p03 16 [('WELCOME-DIVINITY', 'COMPLETE', -4.891137017428275, -4.966255052098488), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.718861731809647, -4.6893532395323705)]
p03 17 [('WELCOME-DIVINITY', 'COMPLETE', -4.803418932403371, -4.811006266818504), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.734803222183029, -4.753062153857537)]
p03 18 [('WELCOME-DIVINITY', 'COMPLETE', -4.7131358218526636, -4.706592752618284), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.863207470656605, -4.8838936986525905)]
p03 19 [('WELCOME-DIVINITY', 'COMPLETE', -4.802121140352871, -4.806294046559341), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -4.7778140709614645, -4.762358379489487)]
