complementary 0 [('WELCOME-DIVINITY', 'COMPLETE', -5.669350667277708, -5.742216090493316), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.586958800213546, -5.640514429803697)]
complementary 1 [('WELCOME-DIVINITY', 'COMPLETE', -5.480769672156598, -5.507346284332774), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.570749346537037, -5.529114611462457)]
complementary 2 [('WELCOME-DIVINITY', 'COMPLETE', -5.534250789795109, -5.700781343788661), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.521047569761763, -5.545194848484318)]
complementary 3 [('WELCOME-DIVINITY', 'COMPLETE', -5.6280408665603, -5.59455148037345), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.564850220656911, -5.691095656198418)]
complementary 4 [('WELCOME-DIVINITY', 'COMPLETE', -5.597541897798527, -5.552674102168704), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.6609643623818515, -5.766517657561728)]
complementary 5 [('WELCOME-DIVINITY', 'COMPLETE', -5.581154735870772, -5.619826377680037), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.560369140534401, -5.5759093579937025)]
complementary 6 [('WELCOME-DIVINITY', 'COMPLETE', -5.490282604607764, -5.597679637409602), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.646224900135105, -5.653715426690448)]
complementary 7 [('WELCOME-DIVINITY', 'COMPLETE', -5.676093953946614, -5.8038307816143435), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.652388308666692, -5.785482774968093)]
complementary 8 [('WELCOME-DIVINITY', 'COMPLETE', -5.558525742420515, -5.569908889454428), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.5417482524432025, -5.505756739288112)]
complementary 9 [('WELCOME-DIVINITY', 'COMPLETE', -5.453929668527515, -5.5509223458789325), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.635694932961119, -5.749102629564197)]
complementary 10 [('WELCOME-DIVINITY', 'COMPLETE', -5.518052550352825, -5.648709564211065), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.623302370868799, -5.626016061556832)]
complementary 11 [('WELCOME-DIVINITY', 'COMPLETE', -5.6315533393552215, -5.734115051628001), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.602512609510719, -5.659730079193312)]
complementary 12 [('WELCOME-DIVINITY', 'COMPLETE', -5.668231462996906, -5.780997529454453), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.565416163449947, -5.63688661288475)]
complementary 13 [('WELCOME-DIVINITY', 'COMPLETE', -5.59735903425875, -5.582581219299303), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.603907362802728, -5.669112831494355)]
complementary 14 [('WELCOME-DIVINITY', 'COMPLETE', -5.70510288709106, -5.797006227871562), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.680969808006594, -5.724666898275691)]
complementary 15 [('WELCOME-DIVINITY', 'COMPLETE', -5.497196244057704, -5.623597032433472), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.6981619472200835, -5.8352507450364595)]
complementary 16 [('WELCOME-DIVINITY', 'COMPLETE', -5.6179854307948425, -5.634088571217571), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.577614410237259, -5.570730748185382)]
complementary 17 [('WELCOME-DIVINITY', 'COMPLETE', -5.63467050675154, -5.734365767322787), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.510022277208022, -5.581303722267469)]
complementary 18 [('WELCOME-DIVINITY', 'COMPLETE', -5.399294664731047, -5.35782563744647), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.6746536673633985, -5.690678974495342)]
complementary 19 [('WELCOME-DIVINITY', 'COMPLETE', -5.630769840947985, -5.66530902201118), ('KOAN-CIRCUMFERENCE', 'COMPLETE', -5.627335421211589, -5.639086560017664)]
