p03 0 [(2, 'COMPLETE', -4.69652264641483, -4.7812030968599375), (3, 'COMPLETE', -4.66648289910694, -4.827975923112795)]
p03 1 [(2, 'COMPLETE', -4.687967003722366, -4.788462592599791), (3, 'COMPLETE', -4.624272174750726, -4.763499604749667)]
p03 2 [(2, 'COMPLETE', -4.65254392164844, -4.774756865347874), (3, 'COMPLETE', -4.611307314223695, -4.809909782967864)]
p03 3 [(2, 'COMPLETE', -4.711695116033455, -4.8102967282262625), (3, 'COMPLETE', -4.602663715282684, -4.708215108569564)]
p03 4 [(2, 'COMPLETE', -4.701129619458514, -4.800995367664506), (3, 'COMPLETE', -4.601920948378597, -4.734146994786692)]
p03 5 [(2, 'COMPLETE', -4.647973614738832, -4.673993111328047), (3, 'COMPLETE', -4.64920837237076, -4.807100458392903)]
p03 6 [(2, 'COMPLETE', -4.671184156299168, -4.80427439033845), (3, 'COMPLETE', -4.6221660616743785, -4.728792647183853)]
p03 7 [(2, 'COMPLETE', -4.68854036405062, -4.816999753112656), (3, 'COMPLETE', -4.601890852848006, -4.71411547401758)]
p03 8 [(2, 'COMPLETE', -4.694964610947698, -4.812571565416296), (3, 'COMPLETE', -4.597331890606057, -4.701072561182325)]
p03 9 [(2, 'COMPLETE', -4.674308122939855, -4.742546320051025), (3, 'COMPLETE', -4.635635835406283, -4.752167369034513)]
p03 10 [(2, 'COMPLETE', -4.693535710485682, -4.776963703763552), (3, 'COMPLETE', -4.663139738469855, -4.851624137595947)]
p03 11 [(2, 'COMPLETE', -4.700883713648953, -4.813472125619886), (3, 'COMPLETE', -4.629728115646867, -4.754408109632339)]
p03 12 [(2, 'COMPLETE', -4.708591296096566, -4.78552252890637), (3, 'COMPLETE', -4.6237651749119895, -4.790698055814528)]
p03 13 [(2, 'COMPLETE', -4.672947493073752, -4.721281711174168), (3, 'COMPLETE', -4.660008052070843, -4.769026306605987)]
p03 14 [(2, 'COMPLETE', -4.635809798519222, -4.729194153228731), (3, 'COMPLETE', -4.644961902833576, -4.745221543056686)]
p03 15 [(2, 'COMPLETE', -4.691423571200347, -4.845905615826975), (3, 'COMPLETE', -4.586531902166534, -4.723460996446723)]
p03 16 [(2, 'COMPLETE', -4.6913769770119425, -4.825901487102461), (3, 'COMPLETE', -4.604744858944745, -4.764157113864774)]
p03 17 [(2, 'COMPLETE', -4.685104933838471, -4.786798645305226), (3, 'COMPLETE', -4.598626782671275, -4.758038189700788)]
p03 18 [(2, 'COMPLETE', -4.692774128562981, -4.788194196013745), (3, 'COMPLETE', -4.632614567075728, -4.68546642444669)]
p03 19 [(2, 'COMPLETE', -4.692093055337935, -4.808521110189726), (3, 'COMPLETE', -4.62662118051995, -4.7836521678385715)]
