complementary 0 [(2, 'COMPLETE', -5.499710028804515, -5.608258989770719), (3, 'COMPLETE', -5.449001196798429, -5.652885482488933)]
complementary 1 [(2, 'COMPLETE', -5.476051573220705, -5.555653173773539), (3, 'COMPLETE', -5.329175813898824, -5.451847821326502)]
complementary 2 [(2, 'COMPLETE', -5.377866522132301, -5.498437906190837), (3, 'COMPLETE', -5.348365010594834, -5.548576737412187)]
complementary 3 [(2, 'COMPLETE', -5.450992191283214, -5.630216291494298), (3, 'COMPLETE', -5.332068975473201, -5.552304856848955)]
complementary 4 [(2, 'COMPLETE', -5.431203992057753, -5.537588105664428), (3, 'COMPLETE', -5.335042167669388, -5.6060926726022275)]
complementary 5 [(2, 'COMPLETE', -5.437830245777113, -5.542855961516799), (3, 'COMPLETE', -5.3984081965301485, -5.50634311333626)]
complementary 6 [(2, 'COMPLETE', -5.433248788279022, -5.5647310384981274), (3, 'COMPLETE', -5.304159795680119, -5.47016924114642)]
complementary 7 [(2, 'COMPLETE', -5.422221357074909, -5.647816372799487), (3, 'COMPLETE', -5.343826277805352, -5.4969474778006875)]
complementary 8 [(2, 'COMPLETE', -5.413450625643124, -5.466531135765371), (3, 'COMPLETE', -5.390652901859342, -5.479036698143025)]
complementary 9 [(2, 'COMPLETE', -5.412247483081343, -5.466251119370939), (3, 'COMPLETE', -5.344883833936879, -5.534060798551391)]
complementary 10 [(2, 'COMPLETE', -5.382075917051228, -5.546098272539197), (3, 'COMPLETE', -5.405148825026682, -5.6712834715944815)]
complementary 11 [(2, 'COMPLETE', -5.504170762506867, -5.683589420106186), (3, 'COMPLETE', -5.291365891814338, -5.4163540749907035)]
complementary 12 [(2, 'COMPLETE', -5.46001862255882, -5.5896762838720795), (3, 'COMPLETE', -5.361034103830265, -5.511230148475589)]
complementary 13 [(2, 'COMPLETE', -5.4179501897772955, -5.579796286481697), (3, 'COMPLETE', -5.389538524192222, -5.586136222174466)]
complementary 14 [(2, 'COMPLETE', -5.372980759163569, -5.500987962493945), (3, 'COMPLETE', -5.285625901171118, -5.479098222850359)]
complementary 15 [(2, 'COMPLETE', -5.442219858929557, -5.653756115703817), (3, 'COMPLETE', -5.291806959727504, -5.4653910841337545)]
complementary 16 [(2, 'COMPLETE', -5.484220288866054, -5.573503515421521), (3, 'COMPLETE', -5.315658119966147, -5.566877699556046)]
complementary 17 [(2, 'COMPLETE', -5.429688694179168, -5.606199043195875), (3, 'COMPLETE', -5.278822969819836, -5.510841271709259)]
complementary 18 [(2, 'COMPLETE', -5.50618254547385, -5.671730949474232), (3, 'COMPLETE', -5.372492729548776, -5.5488736007894435)]
complementary 19 [(2, 'COMPLETE', -5.488912725293025, -5.682689056398199), (3, 'COMPLETE', -5.348616679865737, -5.532800090640504)]
